순위,시장,종목코드,종목명,현재가,목표가,상승여력(%)
125,KOSDAQ,094360,칩스앤미디어,14680.0,25000.0,70.30%
126,KOSPI,484870,엠앤씨솔루션,88300.0,150000.0,69.88%
127,KOSPI,105840,우진,18860.0,32000.0,69.67%
128,KOSPI,381970,케이카,9140.0,15500.0,69.58%
129,KOSPI,097230,HJ중공업,23300.0,39500.0,69.53%
130,KOSPI,012450,한화에어로스페이스,1084000.0,1831667.0,68.97%
131,KOSPI,122900,아이마켓코리아,7700.0,13000.0,68.83%
132,KOSDAQ,039840,디오,13430.0,22667.0,68.78%
133,KOSDAQ,030520,한글과컴퓨터,20350.0,34333.0,68.71%
134,KOSDAQ,215000,골프존,42600.0,71500.0,67.84%
135,KOSDAQ,482630,삼양엔씨켐,17450.0,29250.0,67.62%
136,KOSPI,170900,동아에스티,36400.0,61000.0,67.58%
137,KOSDAQ,058610,에스피지,98500.0,165000.0,67.51%
138,KOSDAQ,122870,와이지엔터테인먼트,45000.0,75333.0,67.41%
139,KOSDAQ,418470,KT밀리의서재,10760.0,18000.0,67.29%
140,KOSPI,000100,유한양행,78900.0,131923.0,67.20%
141,KOSDAQ,086390,유니테스트,15900.0,26500.0,66.67%
142,KOSPI,014790,HL D&I,2745.0,4567.0,66.38%
143,KOSDAQ,218410,RFHIC,79700.0,132600.0,66.37%
144,KOSPI,016580,환인제약,10240.0,17000.0,66.02%
145,KOSDAQ,141080,리가켐바이오,132800.0,220000.0,65.66%
146,KOSPI,126720,수산인더스트리,24750.0,41000.0,65.66%
147,KOSDAQ,241710,코스메카코리아,70800.0,117111.0,65.41%
148,KOSDAQ,112040,위메이드,18140.0,30000.0,65.38%
149,KOSPI,339770,교촌에프앤비,4040.0,6650.0,64.60%
150,KOSPI,001120,LX인터내셔널,40900.0,67286.0,64.51%
151,KOSPI,001230,동국홀딩스,1955.0,3215.0,64.45%
152,KOSPI,326030,SK바이오팜,90200.0,148333.0,64.45%
153,KOSDAQ,213420,덕산네오룩스,38850.0,63857.0,64.37%
154,KOSDAQ,043610,KT지니뮤직,1521.0,2500.0,64.37%
155,KOSPI,032350,롯데관광개발,17810.0,29250.0,64.23%
156,KOSPI,017940,E1,88500.0,145000.0,63.84%
157,KOSPI,003230,삼양식품,1139000.0,1865000.0,63.74%
158,KOSDAQ,237690,에스티팜,123800.0,202643.0,63.69%
159,KOSDAQ,114840,아이패밀리에스씨,9470.0,15500.0,63.67%
160,KOSDAQ,257720,실리콘투,35800.0,58500.0,63.41%
161,KOSPI,251270,넷마블,41150.0,67000.0,62.82%
162,KOSDAQ,035900,JYP Ent.,55900.0,90941.0,62.69%
163,KOSPI,006280,녹십자,129800.0,210833.0,62.43%
164,KOSDAQ,196170,알테오젠,349000.0,566667.0,62.37%
165,KOSDAQ,214450,파마리서치,303500.0,492308.0,62.21%
166,KOSPI,259960,크래프톤,236500.0,382778.0,61.85%
167,KOSDAQ,093520,매커스,20400.0,33000.0,61.76%
168,KOSPI,058650,세아홀딩스,132400.0,214000.0,61.63%
169,KOSDAQ,195940,HK이노엔,42300.0,68231.0,61.30%
170,KOSPI,003220,대원제약,9430.0,15200.0,61.19%
171,KOSPI,090460,비에이치,26800.0,43182.0,61.13%
172,KOSPI,053690,한미글로벌,20700.0,33333.0,61.03%
173,KOSPI,120110,코오롱인더,72300.0,116400.0,61.00%
174,KOSPI,036530,SNT홀딩스,51600.0,83000.0,60.85%
175,KOSPI,012630,HDC,21450.0,34500.0,60.84%
176,KOSDAQ,044490,태웅,34200.0,55000.0,60.82%
177,KOSDAQ,042000,카페24,19910.0,32000.0,60.72%
178,KOSPI,000120,CJ대한통운,85300.0,136833.0,60.41%
179,KOSPI,009420,한올바이오파마,51300.0,82250.0,60.33%
180,KOSDAQ,060250,NHN KCP,15610.0,25000.0,60.15%
181,KOSPI,005690,파미셀,14680.0,23500.0,60.08%
182,KOSPI,322000,HD현대에너지솔루션,158100.0,253000.0,60.03%
183,KOSDAQ,018290,브이티,12820.0,20500.0,59.91%
184,KOSPI,006040,동원산업,34400.0,55000.0,59.88%
185,KOSPI,128940,한미약품,420500.0,671333.0,59.65%
186,KOSPI,111380,동인기연,13160.0,21000.0,59.57%
187,KOSPI,039130,하나투어,37500.0,59800.0,59.47%
188,KOSPI,018670,SK가스,230500.0,367000.0,59.22%
189,KOSDAQ,089600,KT나스미디어,10500.0,16667.0,58.73%
190,KOSDAQ,041510,에스엠,81200.0,128737.0,58.54%
191,KOSPI,214420,토니모리,5680.0,9000.0,58.45%
192,KOSPI,073240,금호타이어,5070.0,8022.0,58.22%
193,KOSPI,009180,한솔로지스틱스,2845.0,4500.0,58.17%
194,KOSDAQ,290550,디케이티,21500.0,34000.0,58.14%
195,KOSDAQ,051370,인터플렉스,9510.0,15000.0,57.73%
196,KOSPI,006360,GS건설,30250.0,47641.0,57.49%
197,KOSPI,375500,DL이앤씨,79000.0,123625.0,56.49%
198,KOSPI,207940,삼성바이오로직스,1332000.0,2083500.0,56.42%
199,KOSDAQ,054950,제이브이엠,22250.0,34800.0,56.40%
200,KOSDAQ,114810,한솔아이원스,15300.0,23900.0,56.21%
201,KOSPI,234080,JW생명과학,11530.0,18000.0,56.11%
202,KOSPI,082740,한화엔진,59300.0,92556.0,56.08%
203,KOSDAQ,085910,네오티스,27550.0,43000.0,56.08%
204,KOSDAQ,040420,정상제이엘에스,5770.0,9000.0,55.98%
205,KOSPI,145720,덴티움,46500.0,72500.0,55.91%
206,KOSDAQ,417840,저스템,17320.0,27000.0,55.89%
207,KOSPI,185750,종근당,71700.0,111667.0,55.74%
208,KOSPI,090430,아모레퍼시픽,112500.0,174882.0,55.45%
209,KOSPI,014830,유니드,70500.0,109571.0,55.42%
210,KOSDAQ,183300,코미코,110200.0,170932.0,55.11%
211,KOSDAQ,089010,켐트로닉스,30950.0,48000.0,55.09%
212,KOSDAQ,096530,씨젠,28700.0,44500.0,55.05%
213,KOSDAQ,222040,코스맥스엔비티,6460.0,10000.0,54.80%
214,KOSPI,280360,롯데웰푸드,110200.0,170500.0,54.72%
215,KOSPI,013890,지누스,9710.0,15000.0,54.48%
216,KOSPI,013580,계룡건설,20750.0,32000.0,54.22%
217,KOSPI,011170,롯데케미칼,80900.0,124692.0,54.13%
218,KOSDAQ,272290,이녹스첨단소재,29200.0,45000.0,54.11%
219,KOSPI,052690,한전기술,135000.0,208000.0,54.07%
220,KOSPI,096770,SK이노베이션,112700.0,173182.0,53.67%
221,KOSPI,027410,BGF,4230.0,6500.0,53.66%
222,KOSPI,034230,파라다이스,14970.0,23000.0,53.64%
223,KOSPI,095570,AJ네트웍스,4455.0,6833.0,53.38%
224,KOSDAQ,060720,KH바텍,11740.0,18000.0,53.32%
225,KOSDAQ,089980,상아프론테크,19570.0,30000.0,53.30%
226,KOSPI,003540,대신증권,29800.0,45667.0,53.24%
227,KOSDAQ,353810,이지바이오,6530.0,10000.0,53.14%
228,KOSPI,100090,SK오션플랜트,16900.0,25857.0,53.00%
229,KOSPI,383800,LX홀딩스,8170.0,12500.0,53.00%
230,KOSPI,020000,한섬,23100.0,35333.0,52.96%
231,KOSDAQ,145020,휴젤,248000.0,379167.0,52.89%
232,KOSPI,039490,키움증권,367500.0,560824.0,52.61%
233,KOSPI,499790,GS피앤엘,48100.0,73167.0,52.11%
234,KOSDAQ,204270,제이앤티씨,17100.0,26000.0,52.05%
235,KOSDAQ,365340,성일하이텍,53800.0,81750.0,51.95%
236,KOSPI,010130,고려아연,1253000.0,1903750.0,51.94%
237,KOSPI,003160,디아이,29300.0,44500.0,51.88%
238,KOSDAQ,200710,에이디테크놀로지,40400.0,61250.0,51.61%
239,KOSPI,006400,삼성SDI,553000.0,838304.0,51.59%
240,KOSPI,294870,IPARK현대산업개발,20400.0,30917.0,51.55%
241,KOSPI,293480,하나제약,9240.0,14000.0,51.52%
242,KOSDAQ,049070,인탑스,19800.0,30000.0,51.52%
243,KOSPI,004000,롯데정밀화학,49550.0,75000.0,51.36%
244,KOSPI,003850,보령,9250.0,14000.0,51.35%
245,KOSPI,000720,현대건설,145000.0,219400.0,51.31%
246,KOSPI,267270,HD건설기계,154500.0,233667.0,51.24%
247,KOSPI,047810,한국항공우주,147600.0,223188.0,51.21%
248,KOSPI,008770,호텔신라,55500.0,83909.0,51.19%
249,KOSPI,456040,OCI,97600.0,147500.0,51.13%
250,KOSPI,047040,대우건설,22900.0,34600.0,51.09%
251,KOSPI,006650,대한유화,141500.0,213571.0,50.93%
252,KOSDAQ,036620,감성코퍼레이션,5010.0,7550.0,50.70%
253,KOSPI,006800,미래에셋증권,51600.0,77750.0,50.68%
254,KOSPI,241590,화승엔터프라이즈,3700.0,5575.0,50.68%
255,KOSDAQ,383310,에코프로에이치엔,29900.0,45000.0,50.50%
256,KOSDAQ,037440,희림,5320.0,8000.0,50.38%
257,KOSPI,007660,이수페타시스,118900.0,178750.0,50.34%
258,KOSDAQ,078340,컴투스,25550.0,38333.0,50.03%
259,KOSDAQ,462350,이노스페이스,15000.0,22500.0,50.00%
260,KOSDAQ,014620,성광벤드,32900.0,49333.0,49.95%
261,KOSPI,084010,대한제강,8940.0,13400.0,49.89%
262,KOSDAQ,077360,덕산하이메탈,14680.0,22000.0,49.86%
263,KOSPI,034020,두산에너빌리티,99800.0,149563.0,49.86%
264,KOSPI,086280,현대글로비스,216500.0,324353.0,49.82%
265,KOSDAQ,215200,메가스터디교육,40050.0,60000.0,49.81%
266,KOSPI,069260,TKG휴켐스,16700.0,25000.0,49.70%
267,KOSPI,068270,셀트리온,175000.0,261870.0,49.64%
268,KOSPI,489790,한화비전,73100.0,109333.0,49.57%
269,KOSPI,005300,롯데칠성,107900.0,161364.0,49.55%
270,KOSPI,097520,엠씨넥스,21700.0,32400.0,49.31%
271,KOSPI,017810,풀무원,10050.0,15000.0,49.25%
272,KOSDAQ,043150,바텍,19360.0,28875.0,49.15%
273,KOSPI,272210,한화시스템,99500.0,148231.0,48.98%
274,KOSDAQ,023910,대한약품,26850.0,40000.0,48.98%
275,KOSPI,001040,CJ,174300.0,259600.0,48.94%
276,KOSDAQ,013030,하이록코리아,35600.0,53000.0,48.88%
277,KOSDAQ,054450,텔레칩스,13450.0,20000.0,48.70%
278,KOSPI,336370,솔루스첨단소재,12560.0,18667.0,48.62%
279,KOSDAQ,058470,리노공업,96800.0,143857.0,48.61%
280,KOSPI,000210,DL,55200.0,82000.0,48.55%
281,KOSDAQ,232140,와이씨,16160.0,24000.0,48.51%
282,KOSPI,010690,화신,10780.0,16000.0,48.42%
283,KOSDAQ,348210,넥스틴,63800.0,94500.0,48.12%
284,KOSDAQ,095660,네오위즈,19770.0,29273.0,48.07%
285,KOSPI,009900,명신산업,8780.0,13000.0,48.06%
286,KOSDAQ,340570,티앤엘,57100.0,84500.0,47.99%
287,KOSPI,192820,코스맥스,168700.0,249588.0,47.95%
288,KOSDAQ,126340,비나텍,113900.0,168500.0,47.94%
289,KOSPI,213500,한솔제지,6930.0,10250.0,47.91%
290,KOSPI,005490,POSCO홀딩스,395000.0,582765.0,47.54%
291,KOSPI,033270,유나이티드제약,18650.0,27500.0,47.45%
292,KOSDAQ,336570,원텍,7010.0,10333.0,47.40%
293,KOSPI,460860,동국제강,10380.0,15300.0,47.40%
294,KOSPI,267250,HD현대,268000.0,395000.0,47.39%
295,KOSDAQ,092130,이크레더블,14270.0,21000.0,47.16%
296,KOSDAQ,046440,KG파이낸셜,4220.0,6200.0,46.92%
297,KOSPI,483650,달바글로벌,196900.0,289250.0,46.90%
