순위,시장,종목코드,종목명,현재가,목표가,상승여력(%)
1,KOSPI,36420,콘텐트리중앙,4995,11200,124.22%
2,KOSPI,439260,대한조선,64700,133400,106.18%
3,KOSPI,77970,STX엔진,35600,72000,102.25%
4,KOSPI,11930,신성이엔지,21350,43000,101.41%
5,KOSPI,377300,카카오페이,46500,91250,96.24%
6,KOSPI,17370,우신시스템,4870,9500,95.07%
7,KOSPI,249420,일동제약,19590,38000,93.98%
8,KOSPI,5810,풍산홀딩스,39200,75250,91.96%
9,KOSPI,298020,효성티앤씨,354500,662000,86.74%
10,KOSPI,35150,백산,10710,20000,86.74%
11,KOSPI,10780,아이에스동서,25350,46750,84.42%
12,KOSPI,1680,대상,18720,34500,84.29%
13,KOSPI,194370,제이에스코퍼레이션,11530,21200,83.87%
14,KOSPI,2020,코오롱,54700,100000,82.82%
15,KOSPI,103140,풍산,78100,141855,81.63%
16,KOSPI,317400,자이에스앤디,3750,6800,81.33%
17,KOSPI,71970,HD현대마린엔진,72000,130167,80.79%
18,KOSPI,34830,한국토지신탁,1278,2300,79.97%
19,KOSPI,100840,SNT에너지,36750,66000,79.59%
20,KOSPI,35720,카카오,40450,72053,78.13%
21,KOSPI,71320,지역난방공사,73100,130000,77.84%
22,KOSPI,1430,세아베스틸지주,49500,87278,76.32%
23,KOSPI,640,동아쏘시오홀딩스,85900,151000,75.79%
24,KOSPI,33240,자화전자,35350,62000,75.39%
25,KOSPI,403550,쏘카,11450,20000,74.67%
26,KOSPI,66970,엘앤에프,141700,246739,74.13%
27,KOSPI,4090,한국석유,12100,21000,73.55%
28,KOSPI,75580,세진중공업,16160,28000,73.27%
29,KOSPI,70960,모나용평,2670,4600,72.28%
30,KOSPI,97230,HJ중공업,22950,39500,72.11%
31,KOSPI,1530,DI동일,23250,40000,72.04%
32,KOSPI,352820,하이브,223000,382750,71.64%
33,KOSPI,285130,SK케미칼,46700,80000,71.31%
34,KOSPI,4800,효성,196800,335000,70.22%
35,KOSPI,69620,대웅제약,122700,208000,69.52%
36,KOSPI,122900,아이마켓코리아,7670,13000,69.49%
37,KOSPI,381970,케이카,9180,15500,68.85%
38,KOSPI,100,유한양행,78300,131923,68.48%
39,KOSPI,3030,세아제강지주,148800,250000,68.01%
40,KOSPI,484870,엠앤씨솔루션,89300,150000,67.97%
41,KOSPI,3220,대원제약,9080,15200,67.40%
42,KOSPI,326030,SK바이오팜,88700,148333,67.23%
43,KOSPI,34120,SBS,12870,21500,67.06%
44,KOSPI,170900,동아에스티,36550,61000,66.89%
45,KOSPI,17940,E1,87600,145000,65.53%
46,KOSPI,3570,SNT다이내믹스,46550,77000,65.41%
47,KOSPI,16580,환인제약,10280,17000,65.37%
48,KOSPI,126720,수산인더스트리,24800,41000,65.32%
49,KOSPI,58650,세아홀딩스,130000,214000,64.62%
50,KOSPI,336370,솔루스첨단소재,11340,18667,64.61%
51,KOSPI,14790,HL D&I,2785,4567,63.99%
52,KOSPI,339770,교촌에프앤비,4060,6650,63.79%
53,KOSPI,3230,삼양식품,1143000,1865000,63.17%
54,KOSPI,105840,우진,19690,32000,62.52%
55,KOSPI,6280,녹십자,130000,210833,62.18%
56,KOSPI,259960,크래프톤,237000,382778,61.51%
57,KOSPI,53690,한미글로벌,20650,33333,61.42%
58,KOSPI,5690,파미셀,14620,23500,60.74%
59,KOSPI,17960,한국카본,35650,57250,60.59%
60,KOSPI,214420,토니모리,5610,9000,60.43%
61,KOSPI,280360,롯데웰푸드,106300,170500,60.40%
62,KOSPI,251270,넷마블,41800,67000,60.29%
63,KOSPI,6040,동원산업,34350,55000,60.12%
64,KOSPI,82740,한화엔진,59300,94889,60.02%
65,KOSPI,32350,롯데관광개발,18010,28769,59.74%
66,KOSPI,120110,코오롱인더,72900,116400,59.67%
67,KOSPI,111380,동인기연,13170,21000,59.45%
68,KOSPI,1230,동국홀딩스,2020,3215,59.16%
69,KOSPI,18670,SK가스,231000,367000,58.87%
70,KOSPI,90430,아모레퍼시픽,110400,174882,58.41%
71,KOSPI,1120,LX인터내셔널,42500,67286,58.32%
72,KOSPI,36530,SNT홀딩스,52500,83000,58.10%
73,KOSPI,39130,하나투어,37850,59800,57.99%
74,KOSPI,9420,한올바이오파마,52100,82250,57.87%
75,KOSPI,128940,한미약품,425500,671333,57.78%
76,KOSPI,145720,덴티움,46000,72500,57.61%
77,KOSPI,73240,금호타이어,5090,8022,57.60%
78,KOSPI,234080,JW생명과학,11480,18000,56.79%
79,KOSPI,120,CJ대한통운,87300,136833,56.74%
80,KOSPI,47050,포스코인터내셔널,65300,102250,56.58%
81,KOSPI,207940,삼성바이오로직스,1333000,2083500,56.30%
82,KOSPI,9180,한솔로지스틱스,2885,4500,55.98%
83,KOSPI,20000,한섬,22700,35333,55.65%
84,KOSPI,12450,한화에어로스페이스,1183000,1831667,54.83%
85,KOSPI,52690,한전기술,134600,208000,54.53%
86,KOSPI,241590,화승엔터프라이즈,3610,5575,54.43%
87,KOSPI,11170,롯데케미칼,80800,124692,54.32%
88,KOSPI,3160,디아이,28850,44500,54.25%
89,KOSPI,14830,유니드,71100,109571,54.11%
90,KOSPI,6650,대한유화,138800,213571,53.87%
91,KOSPI,12630,HDC,22450,34500,53.67%
92,KOSPI,84010,대한제강,8720,13400,53.67%
93,KOSPI,95570,AJ네트웍스,4450,6833,53.55%
94,KOSPI,489790,한화비전,71500,109333,52.91%
95,KOSPI,322000,HD현대에너지솔루션,165500,253000,52.87%
96,KOSPI,6400,삼성SDI,549000,838304,52.70%
97,KOSPI,383800,LX홀딩스,8220,12500,52.07%
98,KOSPI,6800,미래에셋증권,51300,77750,51.56%
99,KOSPI,13890,지누스,9900,15000,51.52%
100,KOSPI,13580,계룡건설,21150,32000,51.30%
101,KOSPI,460860,동국제강,10120,15300,51.19%
102,KOSPI,267270,HD건설기계,154600,233667,51.14%
103,KOSPI,185750,종근당,73900,111667,51.11%
104,KOSPI,293480,하나제약,9270,14000,51.02%
105,KOSPI,97520,엠씨넥스,21500,32400,50.70%
106,KOSPI,5300,롯데칠성,107400,161364,50.25%
107,KOSPI,499790,GS피앤엘,48750,73167,50.09%
108,KOSPI,68270,셀트리온,174500,261870,50.07%
109,KOSPI,210,DL,54800,82000,49.64%
110,KOSPI,69260,TKG휴켐스,16710,25000,49.61%
111,KOSPI,6360,GS건설,31850,47641,49.58%
112,KOSPI,192820,코스맥스,167000,249588,49.45%
113,KOSPI,483650,달바글로벌,194000,289250,49.10%
114,KOSPI,27410,BGF,4360,6500,49.08%
115,KOSPI,294870,IPARK현대산업개발,20750,30917,49.00%
116,KOSPI,111770,영원무역,81000,120556,48.83%
117,KOSPI,96770,SK이노베이션,112500,167250,48.67%
118,KOSPI,17810,풀무원,10090,15000,48.66%
119,KOSPI,248070,솔루엠,18570,27600,48.63%
120,KOSPI,213500,한솔제지,6900,10250,48.55%
121,KOSPI,5490,POSCO홀딩스,390000,579235,48.52%
122,KOSPI,720,현대건설,147800,219400,48.44%
123,KOSPI,90460,비에이치,29100,43182,48.39%
124,KOSPI,3850,보령,9440,14000,48.31%
125,KOSPI,4000,롯데정밀화학,50600,75000,48.22%
126,KOSPI,64960,SNT모티브,30700,45500,48.21%
127,KOSPI,9900,명신산업,8800,13000,47.73%
128,KOSPI,33270,유나이티드제약,18640,27500,47.53%
129,KOSPI,97950,CJ제일제당,200500,295455,47.36%
130,KOSPI,183190,아세아시멘트,10230,15000,46.63%
131,KOSPI,34230,파라다이스,15460,22667,46.62%
132,KOSPI,3540,대신증권,31250,45667,46.13%
133,KOSPI,86280,현대글로비스,222000,324353,46.10%
