순위,시장,종목코드,종목명,현재가,목표가,상승여력(%)
1,KOSPI,036420,콘텐트리중앙,4995.0,11200.0,124.22%
2,KOSPI,439260,대한조선,64900.0,133200.0,105.24%
3,KOSPI,017370,우신시스템,4715.0,9500.0,101.48%
4,KOSPI,377300,카카오페이,46300.0,91250.0,97.08%
5,KOSPI,011930,신성이엔지,21950.0,43000.0,95.90%
6,KOSPI,005810,풍산홀딩스,39050.0,75250.0,92.70%
7,KOSPI,249420,일동제약,19840.0,38000.0,91.53%
8,KOSPI,077970,STX엔진,37750.0,72000.0,90.73%
9,KOSPI,001430,세아베스틸지주,46250.0,87278.0,88.71%
10,KOSPI,035150,백산,10650.0,20000.0,87.79%
11,KOSPI,298020,효성티앤씨,353000.0,662000.0,87.54%
12,KOSPI,001680,대상,18440.0,34500.0,87.09%
13,KOSPI,103140,풍산,76100.0,141855.0,86.41%
14,KOSPI,010780,아이에스동서,25300.0,46750.0,84.78%
15,KOSPI,317400,자이에스앤디,3685.0,6800.0,84.53%
16,KOSPI,034830,한국토지신탁,1259.0,2300.0,82.68%
17,KOSPI,002020,코오롱,55100.0,100000.0,81.49%
18,KOSPI,071320,지역난방공사,72300.0,130000.0,79.81%
19,KOSPI,000640,동아쏘시오홀딩스,84100.0,151000.0,79.55%
20,KOSPI,033240,자화전자,34600.0,62000.0,79.19%
21,KOSPI,035720,카카오,40550.0,72053.0,77.69%
22,KOSPI,004090,한국석유,11910.0,21000.0,76.32%
23,KOSPI,003030,세아제강지주,142000.0,250000.0,76.06%
24,KOSPI,100840,SNT에너지,37550.0,66000.0,75.77%
25,KOSPI,066970,엘앤에프,140600.0,246739.0,75.49%
26,KOSPI,285130,SK케미칼,45750.0,80000.0,74.86%
27,KOSPI,070960,모나용평,2635.0,4600.0,74.57%
28,KOSPI,194370,제이에스코퍼레이션,12220.0,21200.0,73.49%
29,KOSPI,071970,HD현대마린엔진,75300.0,130167.0,72.86%
30,KOSPI,047050,포스코인터내셔널,59700.0,102250.0,71.27%
