순위,시장,종목코드,종목명,현재가,목표가,상승여력(%)
1,KOSPI,036420,콘텐트리중앙,4995.0,11200.0,124.22%
2,KOSPI,439260,대한조선,62400.0,133200.0,113.46%
3,KOSPI,077970,STX엔진,34400.0,72000.0,109.30%
4,KOSPI,298020,효성티앤씨,323000.0,662000.0,104.95%
5,KOSPI,011930,신성이엔지,21150.0,43000.0,103.31%
6,KOSPI,001430,세아베스틸지주,43200.0,87278.0,102.03%
7,KOSPI,017370,우신시스템,4730.0,9500.0,100.85%
8,KOSPI,249420,일동제약,19020.0,38000.0,99.79%
9,KOSPI,005810,풍산홀딩스,37950.0,75250.0,98.29%
10,KOSPI,377300,카카오페이,46050.0,91250.0,98.15%
11,KOSPI,103140,풍산,73000.0,141855.0,94.32%
12,KOSPI,035150,백산,10300.0,20000.0,94.17%
13,KOSPI,010780,아이에스동서,24150.0,46750.0,93.58%
14,KOSPI,001680,대상,17860.0,34500.0,93.17%
15,KOSPI,066970,엘앤에프,127900.0,246739.0,92.92%
16,KOSPI,317400,자이에스앤디,3560.0,6800.0,91.01%
17,KOSPI,071970,HD현대마린엔진,68800.0,130167.0,89.20%
18,KOSPI,003030,세아제강지주,133000.0,250000.0,87.97%
19,KOSPI,033240,자화전자,33150.0,62000.0,87.03%
20,KOSPI,071320,지역난방공사,69700.0,130000.0,86.51%
21,KOSPI,003570,SNT다이내믹스,41300.0,77000.0,86.44%
22,KOSPI,034830,한국토지신탁,1240.0,2300.0,85.48%
23,KOSPI,100840,SNT에너지,35600.0,66000.0,85.39%
24,KOSPI,035720,카카오,39300.0,72053.0,83.34%
25,KOSPI,075580,세진중공업,15350.0,28000.0,82.41%
26,KOSPI,070960,모나용평,2525.0,4600.0,82.18%
27,KOSPI,002020,코오롱,55000.0,100000.0,81.82%
28,KOSPI,047050,포스코인터내셔널,56300.0,102250.0,81.62%
29,KOSPI,004090,한국석유,11600.0,21000.0,81.03%
30,KOSPI,017960,한국카본,32000.0,57667.0,80.21%
31,KOSPI,285130,SK케미칼,44400.0,80000.0,80.18%
32,KOSPI,000640,동아쏘시오홀딩스,84200.0,151000.0,79.33%
33,KOSPI,112610,씨에스윈드,44600.0,79889.0,79.12%
